Measurement (hr),radiation [W/m²],RH [%],temp greenhouse [°C] 
125,225.4,85,24.24
126,288,84,25.64
127,199.53,73,24.16
128,88.15,79,23.1
129,119,80,23.7
130,363,81,25.22
131,200.77,81,26.9
132,214.8,81,26.6
133,76.87,82,25
134,164.73,81,26.05
135,10.5,81,25
136,0,82,23.85
137,0,86,22.8
138,0,88,21.7
139,0,85,21.74
140,0,82,20.76
141,0,75,20.6
142,0,76,20.8
143,0,75,20.6
144,0,69,21.5
145,17,68,21.47
146,79,66,22.2
147,105.37,69,20.5
148,499.4,66,23.33
149,539.78,63,25.67
150,820,61,29.08
151,830.75,60,29.6
152,833.47,59,28.3
153,318.48,60,23.7
154,596.6,65,24.54
155,609.98,64,25.72
156,306.23,82,25.46
157,92.83,95,21.92
158,77.4,96,22.8
159,5.87,97,22.5
160,0.12,96,21.8
161,0,94,20.5
162,0,89,20.1
163,0,92,20.3
164,0,90,20.2
165,0,93,19.1
166,0,80,19.6
167,0,80,19.3
168,0,70,20.1
169,4.03,75,20.2
170,58.15,70,21.2
171,154.8,70,20.2
172,606.93,65,24.69
173,214.58,60,22.39
174,570.7,60,26.99
175,658.55,65,27.58
176,729.6,85,26.87
177,681.25,65,26.3
178,761.3,62,26.58
179,233.27,72,23.15
180,397.6,77,25.41
181,298.3,79,24.5
182,91.83,84,23.3
183,12.18,80,22.3
184,0,85,20.6
185,0,89,19.9
186,0,85,19.6
187,0,90,19.9
188,0,97,20.4
189,0,95,19.6
190,1,94,19.2
191,1,92,18.63
192,0.32,68,20.3
193,8,66,20.2
194,64.05,63,21.3
195,350.53,64,21.2
196,500.32,64,22.48
197,661,69,26.2
198,565.5,63,26.54
199,401.4,59,25.74
200,769.55,62,26.56
201,587.4,61,24.5
202,742.97,58,27.15
203,607.5,61,25.15
204,472.52,69,25.9
205,200.55,90,23.35
206,138.6,93,23.2
207,6,95,22
208,0,94,19.1
209,0,92,19.1
210,0,89,19
211,0,83,18.3
212,0,80,18.1
213,1,78,18.3
214,1,83,18.6
